Antibiotic,Position,MIC,QC
amikacin,H9,4.0,P
amikacin,H10,2.0,P
amikacin,H11,2.0,P
amikacin,H12,1.0,P
chloramphenicol,A1,>64.0,P
chloramphenicol,A2,>64.0,P
chloramphenicol,A3,64.0,P
chloramphenicol,A4,2.0,P
chloramphenicol,A5,8.0,P
chloramphenicol,A6,16.0,P
chloramphenicol,A7,32.0,P
chloramphenicol,A8,32.0,P
chloramphenicol,A9,>64.0,P
chloramphenicol,A10,16.0,P
chloramphenicol,A11,4.0,P
chloramphenicol,A12,2.0,P
chloramphenicol,B1,<0.03125,W
chloramphenicol,B2,>64.0,P
chloramphenicol,B3,<0.03125,F
chloramphenicol,B4,<0.03125,W
chloramphenicol,B5,8.0,F
chloramphenicol,B6,<0.03125,W
chloramphenicol,B7,16.0,P
chloramphenicol,B8,8.0,F
chloramphenicol,B9,8.0,P
chloramphenicol,B10,<0.03125,W
chloramphenicol,B11,4.0,P
chloramphenicol,B12,>64.0,P
chloramphenicol,C1,<0.03125,W
chloramphenicol,C2,<0.03125,F
chloramphenicol,C3,<0.03125,W
chloramphenicol,C4,64.0,F
chloramphenicol,C5,>64.0,P
chloramphenicol,C6,8.0,F
chloramphenicol,C7,<0.03125,W
chloramphenicol,C8,4.0,P
chloramphenicol,C9,<0.03125,W
chloramphenicol,C10,<0.03125,W
chloramphenicol,C11,2.0,P
chloramphenicol,C12,<0.03125,W
chloramphenicol,D1,2.0,F
chloramphenicol,D2,32.0,P
chloramphenicol,D3,<0.03125,W
chloramphenicol,D4,2.0,P
chloramphenicol,D5,<0.03125,W
chloramphenicol,D6,8.0,P
chloramphenicol,D7,64.0,F
chloramphenicol,D8,8.0,P
chloramphenicol,D9,32.0,P
chloramphenicol,D10,2.0,P
chloramphenicol,D11,4.0,P
chloramphenicol,D12,2.0,P
chloramphenicol,E1,>64.0,P
chloramphenicol,E2,16.0,F
chloramphenicol,E3,>64.0,F
chloramphenicol,E4,<0.03125,W
chloramphenicol,E5,<0.03125,W
chloramphenicol,E6,4.0,P
chloramphenicol,E7,4.0,P
chloramphenicol,E8,<0.03125,W
chloramphenicol,E9,4.0,P
chloramphenicol,E10,<0.03125,W
chloramphenicol,E11,4.0,P
chloramphenicol,E12,<0.03125,W
chloramphenicol,F1,0.25,W
chloramphenicol,F2,0.25,W
chloramphenicol,F3,0.5,W
chloramphenicol,F4,0.25,W
chloramphenicol,F5,0.5,W
chloramphenicol,F6,0.5,W
chloramphenicol,F7,4.0,P
chloramphenicol,F8,<0.03125,W
chloramphenicol,F9,32.0,P
chloramphenicol,F10,4.0,P
chloramphenicol,F11,2.0,P
chloramphenicol,F12,<0.03125,W
